Card Name,Quantity,ID #,Rarity,Set,Collector #,Premium,Sideboarded,Annotation
"Forest",1,129822,Land,BLB,278,Yes,No,0
"Kitnap",1,129101,Promo,BLB,357,No,No,0
"Wear Down",1,129096,Promo,BLB,384,Yes,No,0
"Stormcatch Mentor",1,129098,Promo,BLB,385,Yes,No,0
"Senu, Keen-Eyed Protector",1,127982,Rare,ACR,8,No,No,0
"Sword of Light and Shadow",1,128166,Mythic Rare,ACR,100,No,No,0
"Settlement Blacksmith",1,127591,Uncommon,ACR,280,Yes,No,0
"Merciless Harlequin",1,127605,Common,ACR,287,Yes,No,0
"Rooftop Bypass",1,127627,Rare,ACR,298,Yes,No,0
"Arno Dorian",1,127669,Promo,ACR,139,Yes,No,0
"Lydia Frye",1,127689,Promo,ACR,149,Yes,No,0
"Shaun & Rebecca, Agents",1,127695,Promo,ACR,152,Yes,No,0
"Shay Cormac",1,127697,Promo,ACR,153,Yes,No,0
"Thraben Charm",4,126107,Common,MH3,45,No,No,0
"Harbinger of the Seas",2,126143,Rare,MH3,63,No,No,0
"Marionette Apprentice",4,126217,Uncommon,MH3,100,No,No,0
"Warren Soultrader",8,126237,Rare,MH3,110,No,No,0
"Aether Revolt",1,126243,Rare,MH3,113,No,No,0
"Birthing Ritual",4,126309,Mythic Rare,MH3,146,No,No,0
"Writhing Chrysalis",4,126435,Common,MH3,208,No,No,0
"Sink into Stupor",4,126509,Uncommon,MH3,241a,No,No,0
"Glasswing Grace",1,126562,Uncommon,MH3,254a,Yes,No,0
"Pearl Medallion",1,125999,Rare,MH3,294,No,No,0
"Barbarian Ring",4,126009,Uncommon,MH3,299,No,No,0
"It That Heralds the End",1,125560,Promo,MH3,385,Yes,No,0
"Null Elemental Blast",1,125564,Promo,MH3,387,Yes,No,0
"Brainsurge",1,125588,Promo,MH3,399,Yes,No,0
"Kappa Cannoneer",4,125591,Promo,MH3,401,No,No,0
"Victimize",2,125616,Promo,MH3,413,Yes,No,0
"Abiding Grace",1,125526,Promo,MH3,1,Yes,No,0
"Munitions Expert",1,125556,Promo,MH3,16,Yes,No,0
"Emperor of Bones",1,125685,Promo,MH3,453,No,No,0
"Grist, the Hunger Tide",2,127073,Mythic Rare,M3C,264,No,No,0
"Murder",1,123596,Uncommon,OTP,16,Yes,No,0
"Skewer the Critics",1,123616,Uncommon,OTP,26,Yes,No,0
"Back for More",1,123636,Uncommon,OTP,36,Yes,No,0
"Buried in the Garden",1,123640,Uncommon,OTP,38,Yes,No,0
"Decisive Denial",1,123652,Uncommon,OTP,42,Yes,No,0
"Humiliate",1,123662,Uncommon,OTP,47,Yes,No,0
"Ride Down",1,123672,Uncommon,OTP,52,Yes,No,0
"Tyrant's Scorn",1,123680,Uncommon,OTP,56,Yes,No,0
"Armored Armadillo",2,123917,Common,OTJ,3,No,No,0
"Aven Interrupter",1,123919,Rare,OTJ,4,No,No,0
"Bridled Bighorn",2,123925,Common,OTJ,7,No,No,0
"Eriette's Lullaby",2,123931,Common,OTJ,10,No,No,0
"Holy Cow",2,123943,Common,OTJ,16,No,No,0
"Inventive Wingsmith",2,123945,Common,OTJ,17,No,No,0
"Mystical Tether",2,123949,Common,OTJ,19,No,No,0
"Outlaw Medic",2,123957,Common,OTJ,23,No,No,0
"Requisition Raid",4,123963,Uncommon,OTJ,26,No,No,0
"Stagecoach Security",2,123971,Common,OTJ,30,No,No,0
"Steer Clear",2,123973,Common,OTJ,31,No,No,0
"Sterling Keykeeper",2,123975,Common,OTJ,32,No,No,0
"Sterling Supplier",2,123977,Common,OTJ,33,No,No,0
"Take Up the Shield",2,123979,Common,OTJ,34,No,No,0
"Trained Arynx",2,123983,Common,OTJ,36,No,No,0
"Vengeful Townsfolk",2,123985,Common,OTJ,37,No,No,0
"Wanted Griffin",2,123987,Common,OTJ,38,No,No,0
"Daring Thunder-Thief",2,123993,Common,OTJ,41,No,No,0
"Djinn of Fool's Fall",2,123997,Common,OTJ,43,No,No,0
"Failed Fording",2,124005,Common,OTJ,47,No,No,0
"Geyser Drake",2,124013,Common,OTJ,51,No,No,0
"Harrier Strix",2,124015,Common,OTJ,52,No,No,0
"Jailbreak Scheme",2,124017,Common,OTJ,53,No,No,0
"Loan Shark",2,124021,Common,OTJ,55,No,No,0
"Peerless Ropemaster",2,124031,Common,OTJ,60,No,No,0
"Phantom Interference",2,124033,Common,OTJ,61,No,No,0
"Razzle-Dazzler",2,124037,Common,OTJ,63,No,No,0
"Seize the Secrets",2,124039,Common,OTJ,64,No,No,0
"Slickshot Vault-Buster",2,124047,Common,OTJ,68,No,No,0
"Spring Splasher",2,124049,Common,OTJ,69,No,No,0
"Stop Cold",2,124055,Common,OTJ,72,No,No,0
"Take the Fall",2,124057,Common,OTJ,73,No,No,0
"Ambush Gigapede",2,124065,Common,OTJ,77,No,No,0
"Blacksnag Buzzard",2,124069,Common,OTJ,79,No,No,0
"Boneyard Desecrator",2,124073,Common,OTJ,81,No,No,0
"Consuming Ashes",2,124077,Common,OTJ,83,No,No,0
"Corrupted Conviction",2,124079,Common,OTJ,84,No,No,0
"Desert's Due",2,124081,Common,OTJ,85,No,No,0
"Desperate Bloodseeker",2,124083,Common,OTJ,86,No,No,0
"Fake Your Own Death",2,124085,Common,OTJ,87,No,No,0
"Forsaken Miner",4,124087,Uncommon,OTJ,88,No,No,0
"Mourner's Surprise",2,124099,Common,OTJ,94,No,No,0
"Nezumi Linkbreaker",2,124103,Common,OTJ,96,No,No,0
"Overzealous Muscle",2,124105,Common,OTJ,97,No,No,0
"Pitiless Carnage",1,124107,Rare,OTJ,98,No,No,0
"Raven of Fell Omens",2,124113,Common,OTJ,101,No,No,0
"Rooftop Assassin",2,124117,Common,OTJ,103,No,No,0
"Skulduggery",2,124125,Common,OTJ,107,No,No,0
"Vault Plunderer",2,124139,Common,OTJ,114,No,No,0
"Deadeye Duelist",2,124149,Common,OTJ,119,No,No,0
"Discerning Peddler",2,124153,Common,OTJ,121,No,No,0
"Explosive Derailment",2,124155,Common,OTJ,122,No,No,0
"Highway Robbery",2,124169,Common,OTJ,129,No,No,0
"Irascible Wolverine",2,124171,Common,OTJ,130,No,No,0
"Iron-Fist Pulverizer",2,124173,Common,OTJ,131,No,No,0
"Mine Raider",2,124181,Common,OTJ,135,No,No,0
"Outlaws' Fury",2,124183,Common,OTJ,136,No,No,0
"Prickly Pair",2,124185,Common,OTJ,137,No,No,0
"Quick Draw",2,124187,Common,OTJ,138,No,No,0
"Quilled Charger",2,124189,Common,OTJ,139,No,No,0
"Reckless Lackey",2,124191,Common,OTJ,140,No,No,0
"Rodeo Pyromancers",2,124197,Common,OTJ,143,No,No,0
"Thunder Salvo",2,124211,Common,OTJ,150,No,No,0
"Trick Shot",2,124213,Common,OTJ,151,No,No,0
"Ankle Biter",2,124217,Common,OTJ,153,No,No,0
"Bristlepack Sentry",2,124223,Common,OTJ,156,No,No,0
"Cactarantula",2,124227,Common,OTJ,158,No,No,0
"Dance of the Tumbleweeds",2,124231,Common,OTJ,160,No,No,0
"Drover Grizzly",2,124233,Common,OTJ,161,No,No,0
"Freestrider Commando",2,124235,Common,OTJ,162,No,No,0
"Giant Beaver",2,124241,Common,OTJ,165,No,No,0
"Hardbristle Bandit",2,124247,Common,OTJ,168,No,No,0
"Patient Naturalist",2,124259,Common,OTJ,174,No,No,0
"Reach for the Sky",2,124267,Common,OTJ,178,No,No,0
"Snakeskin Veil",2,124273,Common,OTJ,181,No,No,0
"Spinewoods Paladin",2,124277,Common,OTJ,183,No,No,0
"Throw from the Saddle",2,124281,Common,OTJ,185,No,No,0
"Tumbleweed Rising",2,124285,Common,OTJ,187,No,No,0
"Voracious Varmint",2,124287,Common,OTJ,188,No,No,0
"Annie Joins Up",1,124293,Rare,OTJ,191,No,No,0
"Marchesa, Dealer of Death",1,124351,Rare,OTJ,220,No,No,0
"Taii Wakeen, Perfect Shot",1,124379,Rare,OTJ,234,No,No,0
"Gold Pan",2,124395,Common,OTJ,242,No,No,0
"Oasis Gardener",2,124403,Common,OTJ,246,No,No,0
"Silver Deputy",2,124407,Common,OTJ,248,No,No,0
"Sterling Hound",2,124409,Common,OTJ,249,No,No,0
"Conduit Pylons",2,124419,Common,OTJ,254,No,No,0
"Mirage Mesa",2,124435,Common,OTJ,262,No,No,0
"Plains",30,124465,Land,OTJ,277,No,No,0
"Island",30,124469,Land,OTJ,279,No,No,0
"Swamp",30,124473,Land,OTJ,281,No,No,0
"Mountain",30,124477,Land,OTJ,283,No,No,0
"Forest",30,124481,Land,OTJ,285,No,No,0
"Gisa, the Hellraiser",1,123701,Promo,OTJ,288,No,No,0
"Kaervek, the Punisher",1,123703,Promo,OTJ,289,No,No,0
"Claim Jumper",1,123741,Promo,OTJ,310,No,No,0
"Duelist of the Mind",1,123757,Promo,OTJ,318,No,No,0
"Stoic Sphinx",1,123765,Promo,OTJ,322,No,No,0
"Laughing Jasper Flint",1,123831,Promo,OTJ,355,No,No,0
"Seraphic Steed",1,123849,Promo,OTJ,364,No,No,0
"Botanical Sanctum",1,123867,Promo,OTJ,301,No,No,0
"Scorching Shot",1,123728,Promo,OTJ,369,Yes,No,0
"Ruthless Lawbringer",1,123734,Promo,OTJ,372,Yes,No,0
"Magda, the Hoardmaster",1,123859,Promo,OTJ,374,No,No,0
"Esoteric Duplicator",1,125371,Mythic Rare,BIG,5,No,No,0
"Harvester of Misery",4,125379,Mythic Rare,BIG,9,No,No,0
"Stomping Ground",1,123468,Rare,CLU,281,No,No,0
"Undercover Crocodelf",2,122054,Common,MKM,a239,No,No,0
"Auspicious Arrival",2,121500,Common,MKM,5,No,No,0
"Defenestrated Phantom",2,121510,Common,MKM,11,No,No,0
"Due Diligence",2,121516,Common,MKM,14,No,No,0
"Griffnaut Tracker",2,121522,Common,MKM,17,No,No,0
"Haazda Vigilante",2,121524,Common,MKM,18,No,No,0
"Inside Source",2,121526,Common,MKM,19,No,No,0
"Make Your Move",2,121532,Common,MKM,22,No,No,0
"Makeshift Binding",2,121534,Common,MKM,23,No,No,0
"Marketwatch Phantom",2,121536,Common,MKM,24,No,No,0
"Museum Nightwatch",2,121538,Common,MKM,25,No,No,0
"Novice Inspector",6,121546,Common,MKM,29,No,No,0
"On the Job",2,121548,Common,MKM,30,No,No,0
"Seasoned Consultant",2,121554,Common,MKM,33,No,No,0
"Behind the Mask",2,121564,Common,MKM,39,No,No,0
"Benthic Criminologists",2,121566,Common,MKM,40,No,No,0
"Bubble Smuggler",2,121568,Common,MKM,41,No,No,0
"Cold Case Cracker",2,121578,Common,MKM,46,No,No,0
"Crimestopper Sprite",2,121584,Common,MKM,49,No,No,0
"Deduce",2,121590,Common,MKM,52,No,No,0
"Dramatic Accusation",2,121592,Common,MKM,53,No,No,0
"Hotshot Investigators",2,121606,Common,MKM,60,No,No,0
"Jaded Analyst",2,121610,Common,MKM,62,No,No,0
"Out Cold",2,121618,Common,MKM,66,No,No,0
"Projektor Inspector",2,121622,Common,MKM,68,No,No,0
"Reasonable Doubt",2,121624,Common,MKM,69,No,No,0
"Unauthorized Exit",2,121630,Common,MKM,74,No,No,0
"Agency Coroner",2,121632,Common,MKM,75,No,No,0
"Alley Assailant",2,121634,Common,MKM,76,No,No,0
"Basilica Stalker",2,121638,Common,MKM,78,No,No,0
"Cerebral Confiscation",2,121642,Common,MKM,81,No,No,0
"Extract a Confession",2,121646,Common,MKM,84,No,No,0
"Macabre Reconstruction",2,121664,Common,MKM,93,No,No,0
"Murder",2,121668,Common,MKM,95,No,No,0
"Repeat Offender",2,121680,Common,MKM,101,No,No,0
"Rot Farm Mortipede",2,121682,Common,MKM,102,No,No,0
"Slice from the Shadows",2,121684,Common,MKM,103,No,No,0
"Snarling Gorehound",2,121688,Common,MKM,105,No,No,0
"Toxin Analysis",2,121692,Common,MKM,107,No,No,0
"Unscrupulous Agent",2,121696,Common,MKM,109,No,No,0
"The Chase Is On",2,121710,Common,MKM,116,No,No,0
"Demand Answers",2,121722,Common,MKM,122,No,No,0
"Felonious Rage",2,121728,Common,MKM,125,No,No,0
"Galvanize",2,121734,Common,MKM,128,No,No,0
"Gearbane Orangutan",2,121736,Common,MKM,129,No,No,0
"Goblin Maskmaker",2,121738,Common,MKM,130,No,No,0
"Innocent Bystander",2,121744,Common,MKM,133,No,No,0
"Offender at Large",2,121754,Common,MKM,138,No,No,0
"Person of Interest",2,121756,Common,MKM,139,No,No,0
"Red Herring",2,121762,Common,MKM,142,No,No,0
"Rubblebelt Braggart",2,121764,Common,MKM,143,No,No,0
"Shock",2,121766,Common,MKM,144,No,No,0
"Suspicious Detonation",2,121768,Common,MKM,145,No,No,0
"Airtight Alibi",2,121774,Common,MKM,149,No,No,0
"Bite Down on Crime",2,121784,Common,MKM,154,No,No,0
"Fanatical Strength",2,121794,Common,MKM,159,No,No,0
"Loxodon Eavesdropper",2,121812,Common,MKM,168,No,No,0
"Nervous Gardener",2,121814,Common,MKM,169,No,No,0
"Pick Your Poison",6,121816,Common,MKM,170,No,No,0
"Rubblebelt Maverick",2,121824,Common,MKM,174,No,No,0
"Slime Against Humanity",2,121830,Common,MKM,177,No,No,0
"They Went This Way",2,121832,Common,MKM,178,No,No,0
"Topiary Panther",2,121834,Common,MKM,179,No,No,0
"Tunnel Tipster",2,121836,Common,MKM,180,No,No,0
"Undergrowth Recon",1,121838,Mythic Rare,MKM,181,No,No,0
"Vengeful Creeper",2,121840,Common,MKM,182,No,No,0
"Vitu-Ghazi Inspector",2,121842,Common,MKM,183,No,No,0
"Crowd-Control Warden",2,121860,Common,MKM,193,No,No,0
"Dog Walker",2,121868,Common,MKM,197,No,No,0
"Faerie Snoop",2,121880,Common,MKM,203,No,No,0
"Gadget Technician",2,121882,Common,MKM,204,No,No,0
"Granite Witness",2,121886,Common,MKM,206,No,No,0
"Rakish Scoundrel",2,121924,Common,MKM,225,No,No,0
"Riftburst Hellion",2,121930,Common,MKM,228,No,No,0
"Sanguine Savior",2,121934,Common,MKM,230,No,No,0
"Shady Informant",2,121936,Common,MKM,231,No,No,0
"Gravestone Strider",2,121996,Common,MKM,252,No,No,0
"Magnifying Glass",2,122002,Common,MKM,255,No,No,0
"Sanitation Automaton",2,122004,Common,MKM,256,No,No,0
"Thinking Cap",2,122006,Common,MKM,257,No,No,0
"Escape Tunnel",6,122014,Common,MKM,261,No,No,0
"Public Thoroughfare",2,122022,Common,MKM,265,No,No,0
"Underground Mortuary",2,122034,Rare,MKM,271,No,No,0
"Torch the Witness",1,123502,Promo,MKM,b146,Yes,No,0
"Judith, Carnage Connoisseur",1,121366,Promo,MKM,363,No,No,0
"Pyrotechnic Performer",1,121280,Promo,MKM,407,No,No,0
"Archdruid's Charm",1,121282,Promo,MKM,408,No,No,0
"Hide in Plain Sight",1,121286,Promo,MKM,410,No,No,0
"Faith's Fetters",1,120563,Common,RVR,18,No,No,0
"Rootborn Defenses",1,120579,Common,RVR,26,No,No,0
"To Arms!",1,120587,Uncommon,RVR,30,No,No,0
"Cloudfin Raptor",4,120601,Common,RVR,37,No,No,0
"Compulsive Research",1,120603,Common,RVR,38,No,No,0
"Drift of Phantasms",4,120611,Common,RVR,42,No,No,0
"Nightveil Sprite",1,120631,Uncommon,RVR,52,No,No,0
"Quicken",1,120641,Uncommon,RVR,57,No,No,0
"Remand",4,120645,Uncommon,RVR,59,No,No,0
"Repeal",1,120647,Common,RVR,60,No,No,0
"Balustrade Spy",4,120659,Common,RVR,66,No,No,0
"Bladebrand",1,120663,Common,RVR,68,No,No,0
"Dimir House Guard",1,120673,Common,RVR,73,No,No,0
"Golgari Thug",4,120679,Uncommon,RVR,76,No,No,0
"Orzhov Enforcer",1,120701,Uncommon,RVR,87,No,No,0
"Plaguecrafter",3,120705,Uncommon,RVR,89,No,No,0
"Shadow Alley Denizen",1,120711,Common,RVR,92,No,No,0
"Vindictive Vampire",1,120721,Uncommon,RVR,97,No,No,0
"Krenko's Command",1,120757,Common,RVR,115,No,No,0
"Light Up the Stage",3,120761,Uncommon,RVR,117,No,No,0
"Skewer the Critics",8,120775,Common,RVR,124,No,No,0
"Stalking Vengeance",1,120779,Uncommon,RVR,126,No,No,0
"Arboreal Grazer",4,120789,Common,RVR,131,No,No,0
"Fists of Ironwood",1,120805,Common,RVR,139,No,No,0
"Utopia Sprawl",4,120845,Uncommon,RVR,159,No,No,0
"Wasteland Viper",1,120847,Uncommon,RVR,160,No,No,0
"Coiling Oracle",4,120871,Common,RVR,172,No,No,0
"Goblin Electromancer",4,120899,Common,RVR,186,No,No,0
"Lightning Helix",4,120921,Uncommon,RVR,197,No,No,0
"Mayhem Devil",4,120925,Uncommon,RVR,199,No,No,0
"Putrefy",1,120951,Uncommon,RVR,212,No,No,0
"Rhythm of the Wild",1,120961,Uncommon,RVR,217,No,No,0
"Junktroller",1,121091,Uncommon,RVR,262,No,No,0
"Azorius Guildgate",4,121111,Common,RVR,272,No,No,0
"Boros Guildgate",4,121115,Common,RVR,274,No,No,0
"Dimir Guildgate",4,121119,Common,RVR,276,No,No,0
"Golgari Guildgate",4,121123,Common,RVR,278,No,No,0
"Gruul Guildgate",4,121125,Common,RVR,279,No,No,0
"Izzet Guildgate",4,121129,Common,RVR,281,No,No,0
"Orzhov Guildgate",4,121131,Common,RVR,282,No,No,0
"Rakdos Guildgate",4,121135,Common,RVR,284,No,No,0
"Selesnya Guildgate",4,121139,Common,RVR,286,No,No,0
"Simic Guildgate",4,121141,Common,RVR,287,No,No,0
"Mystic Snake",1,125437,Promo,SPG,35,No,No,0
"Chandra's Ignition",1,137642,Promo,SPG,99,Yes,No,0
"Acrobatic Leap",2,117780,Common,LCI,2,No,No,0
"Adaptive Gemguard",2,117782,Common,LCI,3,No,No,0
"Attentive Sunscribe",2,117784,Common,LCI,4,No,No,0
"Clay-Fired Bricks",4,117788,Uncommon,LCI,6a,No,No,0
"Cosmium Blast",2,117792,Common,LCI,7,No,No,0
"Dauntless Dismantler",1,117794,Uncommon,LCI,8,No,No,0
"Deconstruction Hammer",4,117796,Common,LCI,9,No,No,0
"Envoy of Okinec Ahau",2,117800,Common,LCI,11,No,No,0
"Family Reunion",2,117804,Common,LCI,13,No,No,0
"Glorifier of Suffering",2,117808,Common,LCI,15,No,No,0
"Ironpaw Aspirant",2,117814,Common,LCI,18,No,No,0
"Market Gnome",4,117822,Uncommon,LCI,22,No,No,0
"Miner's Guidewing",2,117826,Common,LCI,24,No,No,0
"Oltec Archaeologists",2,117834,Common,LCI,27,No,No,0
"Oltec Cloud Guard",2,117836,Common,LCI,28,No,No,0
"Oteclan Landmark",2,117838,Common,LCI,29a,No,No,0
"Petrify",2,117842,Common,LCI,30,No,No,0
"Quicksand Whirlpool",2,117844,Common,LCI,31,No,No,0
"Soaring Sandwing",2,117852,Common,LCI,35,No,No,0
"Thousand Moons Crackshot",2,117858,Common,LCI,37,No,No,0
"Thousand Moons Infantry",2,117860,Common,LCI,38,No,No,0
"Tinker's Tote",2,117866,Common,LCI,40,No,No,0
"Ancestral Reminiscence",2,117878,Common,LCI,45,No,No,0
"Brackish Blunder",2,117880,Common,LCI,46,No,No,0
"Chart a Course",4,117886,Uncommon,LCI,48,No,No,0
"Cogwork Wrestler",2,117888,Common,LCI,49,No,No,0
"Didact Echo",2,117896,Common,LCI,53,No,No,0
"Eaten by Piranhas",1,117898,Uncommon,LCI,54,No,No,0
"Frilled Cave-Wurm",2,117908,Common,LCI,57,No,No,0
"Inverted Iceberg",2,117914,Common,LCI,60a,No,No,0
"Lodestone Needle",1,117920,Uncommon,LCI,62a,No,No,0
"Marauding Brinefang",2,117926,Common,LCI,64,No,No,0
"Oaken Siren",4,117930,Common,LCI,66,No,No,0
"Orazca Puzzle-Door",2,117936,Common,LCI,68,No,No,0
"Out of Air",2,117938,Common,LCI,69,No,No,0
"Pirate Hat",2,117940,Common,LCI,70,No,No,0
"Relic's Roar",2,117942,Common,LCI,71,No,No,0
"River Herald Scout",2,117944,Common,LCI,72,No,No,0
"Sage of Days",2,117946,Common,LCI,73,No,No,0
"Shipwreck Sentry",2,117950,Common,LCI,75,No,No,0
"Song of Stupefaction",2,117954,Common,LCI,77,No,No,0
"Spyglass Siren",4,117956,Uncommon,LCI,78,No,No,0
"Unlucky Drop",2,117964,Common,LCI,82,No,No,0
"Waterwind Scout",2,117970,Common,LCI,84,No,No,0
"Waylaying Pirates",2,117972,Common,LCI,85,No,No,0
"Abyssal Gorestalker",1,117976,Uncommon,LCI,87,No,No,0
"Acolyte of Aclazotz",2,117982,Common,LCI,89,No,No,0
"Another Chance",2,117984,Common,LCI,90,No,No,0
"Bitter Triumph",4,117986,Uncommon,LCI,91,No,No,0
"Bloodletter of Aclazotz",4,117988,Mythic Rare,LCI,92,No,No,0
"Bloodthorn Flail",4,117990,Uncommon,LCI,93,No,No,0
"Broodrage Mycoid",2,117994,Common,LCI,95,No,No,0
"Chupacabra Echo",1,117998,Uncommon,LCI,97,No,No,0
"Dead Weight",2,118002,Common,LCI,99,No,No,0
"Deathcap Marionette",2,118004,Common,LCI,100,No,No,0
"Deep Goblin Skulltaker",2,118006,Common,LCI,101,No,No,0
"Deep-Cavern Bat",4,118008,Uncommon,LCI,102,No,No,0
"Echo of Dusk",2,118012,Common,LCI,104,No,No,0
"Fanatical Offering",4,118014,Common,LCI,105,No,No,0
"Fungal Fortitude",2,118016,Common,LCI,106,No,No,0
"Greedy Freebooter",4,118024,Common,LCI,109,No,No,0
"Join the Dead",2,118026,Common,LCI,110,No,No,0
"Mephitic Draught",4,118030,Common,LCI,112,No,No,0
"Primordial Gnawer",2,118034,Common,LCI,114,No,No,0
"Rampaging Spiketail",2,118038,Common,LCI,116,No,No,0
"Ray of Ruin",2,118040,Common,LCI,117,No,No,0
"Screaming Phantom",2,118042,Common,LCI,118,No,No,0
"Skullcap Snail",2,118044,Common,LCI,119,No,No,0
"Tithing Blade",4,118064,Common,LCI,128a,No,No,0
"Vito's Inquisitor",2,118072,Common,LCI,130,No,No,0
"Abrade",4,118074,Common,LCI,131,No,No,0
"Ancestors' Aid",4,118076,Common,LCI,132,No,No,0
"Brazen Blademaster",2,118086,Common,LCI,136,No,No,0
"Burning Sun Cavalry",2,118090,Common,LCI,138,No,No,0
"Child of the Volcano",2,118094,Common,LCI,140,No,No,0
"Daring Discovery",2,118098,Common,LCI,142,No,No,0
"Diamond Pick-Axe",1,118100,Uncommon,LCI,143,No,No,0
"Dinotomaton",2,118102,Common,LCI,144,No,No,0
"Dowsing Device",1,118108,Uncommon,LCI,146a,No,No,0
"Dreadmaw's Ire",1,118112,Uncommon,LCI,147,No,No,0
"Etali's Favor",2,118116,Common,LCI,149,No,No,0
"Goblin Tomb Raider",4,118120,Common,LCI,151,No,No,0
"Hotfoot Gnome",2,118126,Common,LCI,154,No,No,0
"Idol of the Deep King",2,118128,Common,LCI,155a,No,No,0
"Magmatic Galleon",1,118134,Rare,LCI,157,No,No,0
"Panicked Altisaur",4,118140,Common,LCI,159,No,No,0
"Plundering Pirate",2,118142,Common,LCI,160,No,No,0
"Rumbling Rockslide",2,118148,Common,LCI,163,No,No,0
"Scytheclaw Raptor",1,118154,Uncommon,LCI,165,No,No,0
"Seismic Monstrosaur",2,118156,Common,LCI,166,No,No,0
"Sunfire Torch",2,118158,Common,LCI,167,No,No,0
"Sunshot Militia",2,118160,Common,LCI,168,No,No,0
"Tectonic Hazard",4,118162,Common,LCI,169,No,No,0
"Volatile Wanderglyph",2,118168,Common,LCI,172,No,No,0
"Armored Kincaller",2,118172,Common,LCI,174,No,No,0
"Basking Capybara",2,118174,Common,LCI,175,No,No,0
"Cavern Stomper",2,118178,Common,LCI,177,No,No,0
"Cenote Scout",4,118180,Uncommon,LCI,178,No,No,0
"Disturbed Slumber",2,118188,Common,LCI,182,No,No,0
"Earthshaker Dreadmaw",1,118190,Uncommon,LCI,183,No,No,0
"Glimpse the Core",1,118196,Uncommon,LCI,186,No,No,0
"Huatli's Final Strike",2,118208,Common,LCI,190,No,No,0
